dist,transect
0.3351,01a
0.3351,01b
19.8283,01c
19.8283,01d
2.4715,02a
2.4715,02b
2.4715,02c
19.8349,02c
2.4715,02d
17.9053,03a
10.9621,03a
17.9053,03b
10.9621,03b
30.4524,03c
,03d
0.3486,05a
0.3486,05b
0.3486,05c
,05d
2.6976,06a
1.7606,06a
2.6976,06b
1.7606,06b
11.0212,06c
11.0212,06d
5.8455,07a
5.8455,07b
5.8455,07c
1.2405,07c
5.8455,07d
1.2405,07d
3.189,08a
6.6179,08a
3.189,08b
6.6179,08b
4.1378,08b
,08c
,08d
,09a
2.5196,09b
,09c
,09d
,10a
,10b
,10c
,10d
2.3681,13a
2.4606,13a
3.0273,13a
2.3681,13b
2.4606,13b
3.0273,13b
6.0609,13b
2.3681,13c
2.4606,13c
2.3681,13d
2.4606,13d
13.8112,14a
7.7755,14a
9.6702,14a
1.9469,14a
13.8112,14b
7.7755,14b
9.6702,14b
1.9469,14b
13.8112,14c
13.8112,14d
6.2876,15a
1.5827,15a
6.2876,15b
1.5827,15b
1.5827,15c
9.6395,15c
1.5827,15d
9.6395,15d
2.1338,16a
7.3938,16a
0.1785,16a
12.9671,16a
8.2003,16a
2.1338,16b
7.3938,16b
0.1785,16b
12.9671,16b
8.2003,16b
,16c
,16d
,17a
,17b
,17c
,17d
0.3292,18a
0.3292,18b
,18c
,18d
0.8152,19a
6.6731,19a
6.7185,19a
3.0287,19a
0.8152,19b
6.6731,19b
6.7185,19b
3.0287,19b
0.8152,19c
0.8152,19d
6.6731,19d
,20a
,20b
,20c
,20d
6.7185,22a
6.7185,22b
,22c
,22d
3.0287,23a
3.0287,23b
,23c
,23d
,24a
,24b
,24c
,24d
1.993,25a
1.993,25b
,25c
,25d
,26a
,26b
,26c
0.2183,26d
,27a
,27b
,27c
,27d
10.6275,29a
10.6275,29b
,29c
,29d
10.3662,30a
10.3662,30b
5.0162,30b
10.3662,30c
10.3662,30d
,31a
,31b
1.0926,31c
1.0926,31d
0.8608,32a
0.8608,32b
,32c
,32d
1.1212,33a
1.1212,33b
0.2212,33b
2.2432,33b
3.9169,33b
0.2212,33c
3.9169,33c
0.2212,33d
2.2432,33d
3.9169,33d
,34a
0.4171,34b
0.4171,34c
0.4171,34d
,35a
,35b
5.29,35c
9.0062,35c
5.29,35d
9.0062,35d
0.5539,36a
0.5539,36b
0.5539,36c
0.5539,36d
1.1144,37a
1.1144,37b
6.0729,37b
1.1144,37c
6.0729,37c
1.1144,37d
6.0729,37d
2.3973,38a
5.4503,38a
2.3973,38b
5.4503,38b
,38c
2.3973,38d
5.4503,39a
1.7646,39a
3.3864,39a
5.4503,39b
1.7646,39b
3.3864,39b
5.4503,39c
1.7646,39c
5.4503,39d
1.7646,39d
0.5601,41a
19.4536,41a
0.5601,41b
19.4536,41b
,41c
,41d
1.8325,42a
1.8325,42b
1.8325,42c
1.8325,42d
0.8146,44a
0.8146,44b
0.8146,44c
0.8146,44d
8.0077,45a
6.6478,45a
,45b
2.2525,45c
2.2525,45d
1.3845,46a
1.3845,46b
1.3845,46c
1.3845,46d
0.6028,47a
0.6028,47b
0.6028,47c
0.6028,47d
,48a
,48b
,48c
,48d
5.0528,50a
5.0528,50b
,50c
2.6645,50d
1.3851,52a
12.5588,52a
1.3851,52b
12.5588,52b
1.3851,52c
1.3851,52d
11.9364,53a
11.9364,53b
11.9364,53c
6.4163,53c
0.793,53c
11.9364,53d
6.4163,53d
0.793,54a
1.0323,54a
0.793,54b
1.0323,54b
,54c
,54d
2.9105,56a
1.7029,56a
2.9105,56b
1.7029,56b
1.7029,56c
15.3463,56c
1.7029,56d
15.3463,56d
,57a
,57b
,57c
,57d
5.1521,58a
5.1521,58b
,58c
,58d
12.6543,59a
12.6543,59b
,59c
,59d
3.4407,60a
9.6896,60a
9.0731,60a
3.4407,60b
9.6896,60b
9.0731,60b
20.7942,60c
20.7942,60d
12.0743,60d
