transect,type,latitude,longitude,occu,notes
61a,corridor,28.62039,-80.60922,0,
61b,corridor,28.62039,-80.60922,0,
61c,corridor,28.6204,-80.60965,1,
61d,corridor,28.62048,-80.60917,0,
61d,corridor,28.6204,-80.60965,1,
61d,corridor,28.6204,-80.6096,1,
62a,corridor,28.62078,-80.6124,0,
62b,corridor,28.62078,-80.6124,0,
66a,corridor,28.61826,-80.62135,0,
66b,corridor,28.61826,-80.62135,0,
66c,corridor,28.61826,-80.62135,0,
66c,corridor,28.61835,-80.62166,0,
66d,corridor,28.61826,-80.62135,0,
66d,corridor,28.61835,-80.62166,0,
69a,corridor,28.60968,-80.62168,1,
69b,corridor,28.60968,-80.62168,1,
69c,corridor,28.60969,-80.62142,0,
69c,corridor,28.60963,-80.62156,0,
69d,corridor,28.60969,-80.62142,0,
69d,corridor,28.60963,-80.62156,0,
75a,corridor,28.60568,-80.59966,0,
75a,corridor,28.60573,-80.59952,0,
75a,corridor,28.60575,-80.59939,0,
75a,corridor,28.60576,-80.59939,0,
75a,corridor,28.60576,-80.59952,1,
75b,corridor,28.60568,-80.59966,0,
75b,corridor,28.60573,-80.59952,0,
75b,corridor,28.60575,-80.59939,0,
75b,corridor,28.60576,-80.59939,0,
75b,corridor,28.60576,-80.59952,1,
75c,corridor,28.60568,-80.59966,0,
75c,corridor,28.60573,-80.59952,0,
75c,corridor,28.60576,-80.59952,1,
75d,corridor,28.60568,-80.59966,0,
75d,corridor,28.60573,-80.59952,0,
75d,corridor,28.60576,-80.59952,1,
76a,corridor,28.60494,-80.60069,0,
76a,corridor,28.60478,-80.60062,0,
76a,corridor,28.60478,-80.6006,0,
76a,corridor,28.60496,-80.60085,1,
76a,corridor,28.60492,-80.60066,1,
76a,corridor,28.60499,-80.60056,1,
76b,corridor,28.60494,-80.60069,0,
76b,corridor,28.60478,-80.60062,0,
76b,corridor,28.60478,-80.6006,0,
76b,corridor,28.60496,-80.60085,1,
76b,corridor,28.60492,-80.60066,1,
76b,corridor,28.60499,-80.60056,1,
76c,corridor,28.60494,-80.60069,0,
76c,corridor,28.60496,-80.60085,1,
76c,corridor,28.60492,-80.60066,1,
76c,corridor,28.60499,-80.60056,1,
76d,corridor,28.60494,-80.60069,0,
76d,corridor,28.60496,-80.60085,1,
76d,corridor,28.60492,-80.60066,1,
76d,corridor,28.60499,-80.60056,1,
77a,corridor,28.59628,-80.62074,0,
79d,corridor,28.60111,-80.60845,0,
80a,corridor,28.59879,-80.61092,0,
80b,corridor,28.59879,-80.61092,0,
83a,corridor,28.59781,-80.61974,0,
83b,corridor,28.59781,-80.61974,0,
88a,corridor,28.59108,-80.63204,0,
88b,corridor,28.59108,-80.63204,0,
88c,corridor,28.59108,-80.63204,0,
88c,corridor,28.59107,-80.63196,0,
88d,corridor,28.59108,-80.63204,0,
88d,corridor,28.59107,-80.63196,0,
89a,corridor,28.58853,-80.63696,1,
89b,corridor,28.58882,-80.63706,0,
89b,corridor,28.58853,-80.63696,1,
89c,corridor,28.58882,-80.63706,0,
89c,corridor,28.58853,-80.63696,1,
89d,corridor,28.58882,-80.63706,0,
89d,corridor,28.58853,-80.63696,1,
01a,inland,28.62042,-80.69535,1,
01b,inland,28.62042,-80.69535,1,
02a,inland,28.62701,-80.69972,0,
02b,inland,28.62701,-80.69972,0,
02c,inland,28.62701,-80.69972,0,
02c,inland,28.62692,-80.69939,0,
02d,inland,28.62701,-80.69972,0,
03a,inland,28.63052,-80.70115,0,
03a,inland,28.63017,-80.70167,1,
03b,inland,28.63052,-80.70115,0,
03b,inland,28.63017,-80.70167,1,
05a,inland,28.62444,-80.70442,0,
05b,inland,28.62444,-80.70442,0,
05c,inland,28.62444,-80.70442,0,
06a,inland,28.62979,-80.71298,0,
06b,inland,28.62979,-80.71298,0,
06c,inland,28.58882,-80.63706,0,
06d,inland,28.58882,-80.63706,0,
07a,inland,28.63546,-80.71301,1,Juvenile
07b,inland,28.63546,-80.71301,1,Juvenile
07c,inland,28.63546,-80.71301,1,Juvenile
07d,inland,28.63546,-80.71301,1,Juvenile
08a,inland,28.63598,-80.71305,0,
08a,inland,28.63612,-80.7136,0,
08b,inland,28.63598,-80.71305,0,
08b,inland,28.63612,-80.7136,0,
09b,inland,28.63185,-80.71262,0,
13a,inland,28.62191,-80.70217,1,
13a,inland,28.62183,-80.70236,1,
13b,inland,28.62191,-80.70217,1,
13b,inland,28.62183,-80.70236,1,
13c,inland,28.62191,-80.70217,1,
13d,inland,28.62191,-80.70217,1,
14a,inland,28.63353,-80.6988,0,
14a,inland,28.63345,-80.69858,0,
14a,inland,28.63298,-80.69861,0,
14b,inland,28.63353,-80.6988,0,
14b,inland,28.63345,-80.69858,0,
14b,inland,28.63298,-80.69861,0,
14c,inland,28.63353,-80.6988,0,
14d,inland,28.63353,-80.6988,0,
15a,inland,28.63154,-80.69609,1,
15b,inland,28.63154,-80.69609,1,
15c,inland,28.63158,-80.6953,0,
15d,inland,28.63158,-80.6953,0,
16a,inland,28.63031,-80.69583,0,
16a,inland,28.63035,-80.69602,0,
16a,inland,28.63029,-80.69611,0,
16a,inland,28.63026,-80.69585,0,
16b,inland,28.63031,-80.69583,0,
16b,inland,28.63035,-80.69602,0,
16b,inland,28.63029,-80.69611,0,
16b,inland,28.63026,-80.69585,0,
19a,inland,28.63599,-80.71578,0,
19a,inland,28.63614,-80.7162,0,
19a,inland,28.63354,-80.72134,1,
19b,inland,28.63599,-80.71578,0,
19b,inland,28.63614,-80.7162,0,
19b,inland,28.63354,-80.72134,1,
19c,inland,28.63599,-80.71578,0,
19d,inland,28.63599,-80.71578,0,
22a,inland,28.63354,-80.72134,1,
22b,inland,28.63354,-80.72134,1,
23a,inland,28.63614,-80.7162,0,Collapsed
23b,inland,28.63614,-80.7162,0,
